2024-01-01T00:00:00,crash_registado,10.85x
2024-01-01T00:00:00,crash_registado,1.33x
2024-01-01T00:00:00,crash_registado,12.98x
2024-01-01T00:00:00,crash_registado,11.51x
2024-01-01T00:00:00,crash_registado,11.55x
2024-01-01T00:00:00,crash_registado,10.67x
2024-01-01T00:00:00,crash_registado,10.53x
2024-01-01T00:00:00,crash_registado,9.06x
2024-01-01T00:00:00,crash_registado,4.65x
2024-01-01T00:00:00,crash_registado,4.66x
2024-01-01T00:00:00,crash_registado,4.31x
2024-01-01T00:00:00,crash_registado,3.86x
2024-01-01T00:00:00,crash_registado,13.74x
2024-01-01T00:00:00,crash_registado,14.06x
2024-01-01T00:00:00,crash_registado,12.44x
2024-01-01T00:00:00,crash_registado,9.09x
2024-01-01T00:00:00,crash_registado,1.06x
2024-01-01T00:00:00,crash_registado,12.91x
2024-01-01T00:00:00,crash_registado,8.18x
2024-01-01T00:00:00,crash_registado,12.97x
2024-01-01T00:00:00,crash_registado,6.09x
2024-01-01T00:00:00,crash_registado,5.51x
2024-01-01T00:00:00,crash_registado,11.12x
2024-01-01T00:00:00,crash_registado,10.58x
2024-01-01T00:00:00,crash_registado,2.78x
2024-01-01T00:00:00,crash_registado,5.83x
2024-01-01T00:00:00,crash_registado,3.65x
2024-01-01T00:00:00,crash_registado,3.09x
2024-01-01T00:00:00,crash_registado,13.31x
2024-01-01T00:00:00,crash_registado,8.23x
2024-01-01T00:00:00,crash_registado,14.9x
2024-01-01T00:00:00,crash_registado,14.44x
2024-01-01T00:00:00,crash_registado,7.33x
2024-01-01T00:00:00,crash_registado,7.96x
2024-01-01T00:00:00,crash_registado,11.4x
2024-01-01T00:00:00,crash_registado,7.56x
2024-01-01T00:00:00,crash_registado,3.4x
2024-01-01T00:00:00,crash_registado,5.99x
2024-01-01T00:00:00,crash_registado,4.34x
2024-01-01T00:00:00,crash_registado,13.13x
2024-01-01T00:00:00,crash_registado,13.56x
2024-01-01T00:00:00,crash_registado,8.87x
2024-01-01T00:00:00,crash_registado,12.91x
2024-01-01T00:00:00,crash_registado,1.52x
2024-01-01T00:00:00,crash_registado,13.38x
2024-01-01T00:00:00,crash_registado,7.97x
2024-01-01T00:00:00,crash_registado,5.83x
2024-01-01T00:00:00,crash_registado,8.3x
2024-01-01T00:00:00,crash_registado,7.73x
2024-01-01T00:00:00,crash_registado,14.13x
2024-01-01T00:00:00,crash_registado,1.62x
2024-01-01T00:00:00,crash_registado,4.39x
2024-01-01T00:00:00,crash_registado,10.96x
2024-01-01T00:00:00,crash_registado,7.15x
2024-01-01T00:00:00,crash_registado,6.7x
2024-01-01T00:00:00,crash_registado,3.14x
2024-01-01T00:00:00,crash_registado,8.56x
2024-01-01T00:00:00,crash_registado,6.37x
2024-01-01T00:00:00,crash_registado,4.7x
